Kanton,Kantonsname,Jahr,Treibstoff,DATA_Inverkehrsetzung,DATA_Bestand,DATA_Bevölkerung_Vorjahr,DATA_Inverkehrsetzung pro 1000,DATA_Bestand pro 1000
NW,Nidwalden,2016,Benzin-elektrisch: Plug-in-Hybrid,10,16,42420.0,0.23573785950023574,0.3771805752003772
NW,Nidwalden,2016,Diesel,635,7889,42420.0,14.96935407826497,185.97359735973598
NW,Nidwalden,2016,Diesel-elektrisch: Normal-Hybrid,1,21,42420.0,0.023573785950023574,0.49504950495049505
NW,Nidwalden,2016,Diesel-elektrisch: Plug-in-Hybrid,0,6,42420.0,0.0,0.14144271570014144
NW,Nidwalden,2016,Elektrisch,19,59,42420.0,0.4479019330504479,1.3908533710513908
NW,Nidwalden,2016,Gas (mono- und bivalent),2,32,42420.0,0.04714757190004715,0.7543611504007544
NW,Nidwalden,2016,Ohne Motor,0,0,42420.0,0.0,0.0
NW,Nidwalden,2016,Wasserstoff,0,0,42420.0,0.0,0.0
NW,Nidwalden,2017,Anderer,0,40,42556.0,0.0,0.9399379640943697
NW,Nidwalden,2017,Benzin,960,17838,42556.0,22.558511138264876,419.16533508788416
NW,Nidwalden,2017,Benzin-elektrisch: Normal-Hybrid,62,369,42556.0,1.4569038443462732,8.67092771877056
NW,Nidwalden,2017,Benzin-elektrisch: Plug-in-Hybrid,12,32,42556.0,0.28198138922831095,0.7519503712754958
NW,Nidwalden,2017,Diesel,605,8230,42556.0,14.216561706927342,193.39223611241658
NW,Nidwalden,2017,Diesel-elektrisch: Normal-Hybrid,0,22,42556.0,0.0,0.5169658802519034
NW,Nidwalden,2017,Diesel-elektrisch: Plug-in-Hybrid,2,6,42556.0,0.04699689820471849,0.14099069461415548
NW,Nidwalden,2017,Elektrisch,25,87,42556.0,0.5874612275589811,2.044365071905254
NW,Nidwalden,2017,Gas (mono- und bivalent),2,32,42556.0,0.04699689820471849,0.7519503712754958
NW,Nidwalden,2017,Ohne Motor,0,0,42556.0,0.0,0.0
NW,Nidwalden,2017,Wasserstoff,0,0,42556.0,0.0,0.0
NW,Nidwalden,2018,Anderer,0,38,42969.0,0.0,0.8843584910051433
NW,Nidwalden,2018,Benzin,971,17856,42969.0,22.597686704368265,415.5554004049431
NW,Nidwalden,2018,Benzin-elektrisch: Normal-Hybrid,69,414,42969.0,1.6058088389303917,9.634853033582349
NW,Nidwalden,2018,Benzin-elektrisch: Plug-in-Hybrid,18,46,42969.0,0.4189066536340152,1.0705392259535944
NW,Nidwalden,2018,Diesel,406,8363,42969.0,9.448672298633898,194.62868579673716
NW,Nidwalden,2018,Diesel-elektrisch: Normal-Hybrid,9,25,42969.0,0.2094533268170076,0.58181479671391
NW,Nidwalden,2018,Diesel-elektrisch: Plug-in-Hybrid,0,8,42969.0,0.0,0.1861807349484512
NW,Nidwalden,2018,Elektrisch,21,111,42969.0,0.48872442923968445,2.5832576974097603
NW,Nidwalden,2018,Gas (mono- und bivalent),1,31,42969.0,0.0232725918685564,0.7214503479252484
NW,Nidwalden,2018,Ohne Motor,0,0,42969.0,0.0,0.0
NW,Nidwalden,2018,Wasserstoff,0,0,42969.0,0.0,0.0
NW,Nidwalden,2019,Anderer,0,34,43223.0,0.0,0.7866182356615691
NW,Nidwalden,2019,Benzin,939,17746,43223.0,21.724544802535686,410.5684473544178
NW,Nidwalden,2019,Benzin-elektrisch: Normal-Hybrid,105,497,43223.0,2.4292621983666103,11.49850773893529
NW,Nidwalden,2019,Benzin-elektrisch: Plug-in-Hybrid,13,63,43223.0,0.300765795988247,1.4575573190199662
NW,Nidwalden,2019,Diesel,389,8426,43223.0,8.999838049186776,194.94250746130533
NW,Nidwalden,2019,Diesel-elektrisch: Normal-Hybrid,29,49,43223.0,0.6709390833583971,1.1336556925710848
NW,Nidwalden,2019,Diesel-elektrisch: Plug-in-Hybrid,0,6,43223.0,0.0,0.1388149827638063
NW,Nidwalden,2019,Elektrisch,60,166,43223.0,1.388149827638063,3.8405478564653075
NW,Nidwalden,2019,Gas (mono- und bivalent),0,27,43223.0,0.0,0.6246674224371284
NW,Nidwalden,2019,Ohne Motor,0,0,43223.0,0.0,0.0
NW,Nidwalden,2019,Wasserstoff,0,0,43223.0,0.0,0.0
NW,Nidwalden,2020,Anderer,0,31,43087.0,0.0,0.7194745514888482
NW,Nidwalden,2020,Benzin,573,17748,43087.0,13.29867477429387,411.9107851556154
NW,Nidwalden,2020,Benzin-elektrisch: Normal-Hybrid,151,630,43087.0,3.50453733144568,14.621579594773365
NW,Nidwalden,2020,Benzin-elektrisch: Plug-in-Hybrid,62,100,43087.0,1.4389491029776964,2.3208856499640262
NW,Nidwalden,2020,Diesel,260,8422,43087.0,6.034302689906468,195.46498943997028
NW,Nidwalden,2020,Diesel-elektrisch: Normal-Hybrid,27,75,43087.0,0.6266391254902871,1.7406642374730197
NW,Nidwalden,2020,Diesel-elektrisch: Plug-in-Hybrid,0,8,43087.0,0.0,0.1856708519971221
NW,Nidwalden,2020,Elektrisch,100,267,43087.0,2.3208856499640262,6.19676468540395
NW,Nidwalden,2020,Gas (mono- und bivalent),4,29,43087.0,0.09283542599856105,0.6730568384895677
NW,Nidwalden,2020,Ohne Motor,0,0,43087.0,0.0,0.0
NW,Nidwalden,2020,Wasserstoff,0,0,43087.0,0.0,0.0
NW,Nidwalden,2021,Anderer,0,27,43520.0,0.0,0.6204044117647058
NW,Nidwalden,2021,Benzin,492,17653,43520.0,11.305147058823529,405.6295955882353
NW,Nidwalden,2021,Benzin-elektrisch: Normal-Hybrid,260,862,43520.0,5.974264705882352,19.806985294117645
NW,Nidwalden,2021,Benzin-elektrisch: Plug-in-Hybrid,70,181,43520.0,1.6084558823529411,4.159007352941177
NW,Nidwalden,2021,Diesel,183,8456,43520.0,4.204963235294118,194.3014705882353
NW,Nidwalden,2021,Diesel-elektrisch: Normal-Hybrid,54,127,43520.0,1.2408088235294117,2.918198529411765
NW,Nidwalden,2021,Diesel-elektrisch: Plug-in-Hybrid,1,7,43520.0,0.022977941176470586,0.16084558823529413
NW,Nidwalden,2021,Elektrisch,187,439,43520.0,4.296875,10.087316176470589
NW,Nidwalden,2021,Gas (mono- und bivalent),0,32,43520.0,0.0,0.7352941176470588
NW,Nidwalden,2021,Ohne Motor,0,0,43520.0,0.0,0.0
NW,Nidwalden,2021,Wasserstoff,0,0,43520.0,0.0,0.0
NW,Nidwalden,2022,Anderer,0,25,43894.0,0.0,0.5695539253656536
NW,Nidwalden,2022,Benzin,427,17253,43894.0,9.727981045245363,393.06055497334484
NW,Nidwalden,2022,Benzin-elektrisch: Normal-Hybrid,240,1134,43894.0,5.4677176835102745,25.834966054586047
NW,Nidwalden,2022,Benzin-elektrisch: Plug-in-Hybrid,72,279,43894.0,1.6403153050530825,6.356221807080694
NW,Nidwalden,2022,Diesel,123,8322,43894.0,2.802205312799016,189.59311067571878
NW,Nidwalden,2022,Diesel-elektrisch: Normal-Hybrid,62,184,43894.0,1.4124937349068212,4.1919168906912105
NW,Nidwalden,2022,Diesel-elektrisch: Plug-in-Hybrid,2,9,43894.0,0.04556431402925229,0.20503941313163532
NW,Nidwalden,2022,Elektrisch,237,660,43894.0,5.399371212466396,15.036223629653255
NW,Nidwalden,2022,Gas (mono- und bivalent),0,31,43894.0,0.0,0.7062468674534106
